Année;15-24 ans
1975;2194
1976;2215
1977;2218
1978;2180
1979;2205
1980;2160
1981;2138
1982;2132
1983;2104
1984;2074
1985;2048
1986;2038
1987;2006
1988;1887
1989;1832
1990;1741
1991;1600
1992;1537
1993;1487
1994;1389
1995;1360
1996;1303
1997;1238
1998;1239
1999;1219
2000;1279
2001;1285
2002;1308
2003;1330
2004;1349
2005;1352
2006;1356
2007;1370
2008;1350
2009;1408
2010;1359
2011;1323
2012;1291
2013;1293
2014;1266
2015;1291
2016;1304
2017;1278
2018;1306
2019;1314
2020;1289
2021;1443
2022;1531
2023;1554
