annee;Niveau de vie moyen (en euros par mois);Indicateur de fécondité ICFRA
623;2,27
973;2,04
1182;1,75
1362;1,64
1532;1,65
1708;1,73
1907;1,85
2165;1,90
2583;1,89
4290;1,98
